Re,tau,stable,C_D_mean,C_L_max,t_final
100,0.001,yes,2.2397,0.9034,10.001
200,0.0005,yes,2.0109,1.6273,10.0
300,0.0003,yes,1.8135,1.9402,10.0002
400,0.00025,yes,1.7123,1.9937,10.0002
500,0.0002,yes,1.6309,1.8777,10.0
550,0.00015,yes,1.564,1.513,10.0
600,0.00012,NO,1.5785,2.0926,2.7121
750,0.00015,NO,1.41,11.4079,1.6629
1000,0.0001,NO,13.746,7076.283,0.7793
