xr,yr,score,Living,Kitchen,Bathroom,Bedroom
8.0,6.75,65.36444863222411,13.132400039687848,4.167961636332029,19.893657778697687,33.863075928629264
8.0,6.8,60.11922343503818,9.388170577628392,9.413335544526035,17.924403649824015,33.31946507251185
8.0,6.85,60.26350939926252,8.522990173558135,11.778012215494588,17.687618018496938,33.26505164258065
8.0,6.7,72.66131662350651,15.683963506123781,-2.18323314233668,22.031031235420542,34.512538093907025
8.0,6.8999999999999995,66.24482640779969,12.460913774245013,12.489043483011425,19.120640860672335,33.7680376798115
8.0,7.049999999999999,80.83462484117548,20.591021299993916,5.009462067208834,20.63704489778491,35.206835149738126
8.0,6.949999999999999,73.771953569961,16.010594374991772,11.840848116331289,20.4486237501904,34.48810976126387
8.0,6.999999999999999,79.34411298433608,18.674388927925257,9.65389527236823,21.007585296515366,35.039552865184284
8.0,7.099999999999999,78.07780454717432,21.907355408915063,-1.8823272566257263,19.30871390900665,34.89867996934949
8.0,7.149999999999999,72.99041425755173,22.71291409223606,4.0321902216786105,17.092406324414217,34.07928896343913
8.0,7.299999999999998,53.47896259041063,22.451640118344926,11.474756111663101,15.899860031585495,29.609645812507132
8.0,7.199999999999998,66.17216321540027,23.05651916782473,8.769704284777294,15.21925206395319,32.758349623050634
8.0,7.349999999999998,51.43006195227077,21.55322145193708,10.63220690498252,16.163541193547267,29.43799342787695
8.0,7.249999999999998,58.90789064098351,22.963585661715406,10.92996778256155,14.839112816921729,31.078087086096904
8.0,7.399999999999998,52.01131212845717,20.360518626768965,8.251342920028188,15.470498762878238,30.387490466656082
8.05,6.75,67.23456480469818,9.403419498518238,3.7677954339814077,21.36896376056415,34.15685850798137
8.05,6.7,69.26754132050081,8.552531082832568,-3.1489879908546303,22.642779057487324,34.3764319094969
8.05,6.8,70.03775206566098,13.18446598285517,8.571506437716453,20.69050369324383,34.31420069088262
8.05,6.949999999999999,95.5579199684885,21.33683572993307,9.975515947121044,22.240299278582548,36.6243752001222
8.05,6.85,77.24247902232987,16.515861841382286,10.658472172028455,20.954701506379763,34.95967613770736
