xr,yr,score,Living,Kitchen,Bathroom,Bedroom
8.0,6.75,65.36444863222405,13.132400039687852,4.167961636331939,19.893657778697673,33.86307592862926
8.0,6.8,60.11922343503813,9.38817057762858,9.413335544525994,17.924403649823986,33.31946507251184
8.0,6.7,72.66131662350679,15.683963506123828,-2.1832331423364484,22.03103123542057,34.512538093907054
8.0,6.85,60.26350939926243,8.522990173557961,11.778012215494568,17.687618018496917,33.26505164258065
8.0,6.8999999999999995,66.24482640779955,12.460913774244878,12.489043483011432,19.120640860672328,33.768037679811485
8.0,6.949999999999999,73.7719535699608,16.010594374991662,11.840848116331292,20.448623750190407,34.48810976126385
8.0,6.999999999999999,79.34411298433605,18.674388927925218,9.653895272368274,21.00758529651536,35.039552865184284
8.0,7.049999999999999,80.83462484117558,20.59102129999394,5.009462067208924,20.637044897784904,35.20683514973813
8.0,7.099999999999999,78.07780454717422,21.90735540891504,-1.8823272566256521,19.308713909006606,34.89867996934948
8.0,7.149999999999999,72.99041425755185,22.71291409223612,4.032190221678502,17.09240632441423,34.07928896343914
8.0,7.199999999999998,66.17216321540039,23.056519167824714,8.769704284777212,15.219252063953174,32.75834962305067
8.0,7.249999999999998,58.90789064098384,22.96358566171542,10.929967782561494,14.83911281692168,31.07808708609699
8.0,7.299999999999998,53.47896259041118,22.451640118344983,11.474756111663089,15.899860031585465,29.609645812507267
8.0,7.349999999999998,51.43006195227092,21.553221451937176,10.632206904982464,16.163541193547257,29.43799342787696
8.0,7.399999999999998,52.0113121284571,20.360518626769032,8.251342920028105,15.470498762878176,30.38749046665606
8.05,6.7,69.26754132050084,8.552531082832406,-3.148987990854546,22.64277905748726,34.37643190949693
8.05,6.75,67.23456480469835,9.403419498518403,3.767795433981458,21.368963760564124,34.15685850798139
8.05,6.8,70.03775206566107,13.184465982855102,8.571506437716387,20.690503693243777,34.31420069088266
8.05,6.85,77.24247902233,16.515861841382254,10.658472172028453,20.954701506379774,34.95967613770738
8.05,6.8999999999999995,86.84943796083104,19.212198432797827,11.066828130079774,21.6977830476463,35.84534226258587
8.05,6.949999999999999,95.5579199684887,21.336835729933064,9.975515947121066,22.24029927858256,36.62437520012222
8.05,6.999999999999999,100.6971607891108,22.98155249919377,6.995253338783137,22.246628579744314,37.07547462563879
8.05,7.049999999999999,101.05596896802248,24.213167839214297,1.4642058324601324,21.61936641293165,37.09585422829043
8.05,7.099999999999999,97.49933833297999,25.071440986947394,1.2239198194892342,20.45659010662795,36.634661136775804
8.05,7.149999999999999,91.005013050497,25.577482534598957,6.8797960279007615,19.24721170187025,35.65260109276518
8.05,7.199999999999998,82.13883425597272,25.74090304462414,10.174623756142061,18.871524063431128,34.11119426117048
8.05,7.249999999999998,71.77925139439257,25.56555812958568,11.58239603874925,19.21696107521233,32.01247158205885
8.05,7.299999999999998,61.43138091512264,25.056202782857355,11.570034425615642,19.469975803725205,29.63925685459675
8.05,7.349999999999998,54.19908816120747,24.229770610062683,10.15149673923704,19.081323677923436,28.202393252165407
8.05,7.399999999999998,51.03324760698817,23.136534593965056,7.086931125783771,17.848270078976782,28.503218057179648
8.100000000000001,6.7,79.06900309233365,15.488459974484506,-2.7370239702849215,23.01536477070502,35.3044569192916
8.100000000000001,6.75,81.07297610120852,16.763876396091234,3.773658288966625,22.556318787411833,35.448970935678304
8.100000000000001,6.8,87.61424919643055,18.610106521303443,7.869406382372617,22.69671932865481,35.98376059512115
8.100000000000001,6.85,97.50198003299083,20.507994562424724,9.564800960589928,23.184148146951642,36.83518428257183
8.100000000000001,6.8999999999999995,108.02949152686143,22.235867018604,9.591229770737383,23.580475205259166,37.72701178795428
8.100000000000001,6.949999999999999,116.23933233258808,23.716489265235708,7.98777059354955,23.590895464944698,38.409902309890114
8.100000000000001,6.999999999999999,120.20228760387982,24.92696315351289,4.644016413518254,23.117518744304753,38.744712844177684
8.100000000000001,7.049999999999999,119.62940383318931,25.86074065411782,2.241714362269018,22.240818903960005,38.66534063832857
8.100000000000001,7.099999999999999,115.2398320488721,26.514382713452022,4.843663550138448,21.33172350048055,38.13385071424711
8.100000000000001,7.149999999999999,107.99937892951726,26.883944821410346,9.066541036435908,21.082447093833988,37.11547564184023
8.100000000000001,7.199999999999998,98.12581854253065,26.964840258562546,11.376922254861917,21.636885617111233,35.570223075215026
8.100000000000001,7.249999999999998,85.9573487772216,26.753545125936363,12.213197567147159,22.24459737507,33.47287943477232
8.100000000000001,7.299999999999998,72.76275719217969,26.25162458117209,11.753497960627108,22.31135434141763,30.95679147131005
8.100000000000001,7.349999999999998,61.551168257837574,25.47393095853689,9.877454047774929,21.56319734701482,28.843742127733563
8.100000000000001,7.399999999999998,54.55749921859481,24.463464978030697,6.500627549916712,19.886905690541774,28.251107296995496
8.150000000000002,6.7,89.4083648075788,19.707644674781335,-0.2512693479177283,23.160531305583664,36.174884251800506
8.150000000000002,6.75,93.3705836730727,20.216180105882586,4.313617244910158,23.444583021347142,36.47055543189331
8.150000000000002,6.8,101.74401007627286,21.095533576622287,7.48172746225634,24.14093828713338,37.13761555108118
8.150000000000002,6.85,112.59411193864429,22.1820939990498,8.73675440525656,24.750596681980895,38.03183093680952
8.150000000000002,6.8999999999999995,122.94212467841889,23.324030492196922,8.437402160357212,24.939223217516755,38.887622550939426
8.150000000000002,6.949999999999999,130.12623425174485,24.408610691819806,6.721367796569932,24.570221427471047,39.50142209030431
8.150000000000002,6.999999999999999,132.836090840964,25.358769684866136,4.630913349538531,23.673411734108463,39.765382715311674
8.150000000000002,7.049999999999999,131.1625027981817,26.12312333432734,4.6871062124627105,22.54809564982682,39.62734789532246
8.150000000000002,7.099999999999999,126.16117061418211,26.66713769175037,7.598087143767131,21.952425687627922,39.0555449808531
8.150000000000002,7.149999999999999,118.70894743752447,26.966980312013003,10.626732341616359,22.536957709035566,38.019976393050456
8.150000000000002,7.199999999999998,108.5048455695474,27.006052002268206,12.294535381538648,23.66325815012996,36.487385840874495
